"MpTak_v6.1"	"Name"	"product"	"MPGENES"	"annots"
"Mp7g10640"	""	""	""	"[K22683]: APF2; aspartyl protease family protein [EC:3.4.23.-];
[KOG1339]: Aspartyl protease; [O];
[PTHR47967]: OS07G0603500 PROTEIN-RELATED;
[PTHR47967:SF28]: ASPARTYL PROTEASE FAMILY PROTEIN 2;
[PF14541]: Xylanase inhibitor C-terminal;
[PF14543]: Xylanase inhibitor N-terminal"
"Mp7g10680"	""	""	""	"[KOG0618]: Serine/threonine phosphatase 2C containing leucine-rich repeats, similar to SCN circadian oscillatory protein (SCOP); C-term missing; [T];
[PTHR27000]: LEUCINE-RICH REPEAT RECEPTOR-LIKE PROTEIN KINASE FAMILY PROTEIN-RELATED;
[PF13855]: Leucine rich repeat;
[PF08263]: Leucine rich repeat N-terminal domain;
[PF00560]: Leucine Rich Repeat"
"Mp7g10690"	""	""	""	"[KOG4754]: Predicted phosphoglycerate mutase; [G];
[PTHR48100:SF30]: PHOSPHOGLYCERATE MUTASE-LIKE PROTEIN 1;
[PTHR48100]: BROAD-SPECIFICITY PHOSPHATASE YOR283W-RELATED;
[PF00300]: Histidine phosphatase superfamily (branch 1)"
"Mp7g10700"	"MpH3.1b"	"Chromatin related protein"	"[MpH3.1b]: Chromatin related protein"	"[K11253]: H3; histone H3;
[KOG1745]: Histones H3 and H4; [B];
[PTHR11426]: HISTONE H3;
[PTHR11426:SF198];
[PF00125]: Core histone H2A/H2B/H3/H4"
"Mp7g10710"	""	""	""	"[PTHR47679]: PROTEIN TORNADO 1;
[PF16095]: C-terminal of Roc, COR, domain;
[PF08477]: Ras of Complex, Roc, domain of DAPkinase"
"Mp7g10720"	""	""	""	"[KOG4754]: Predicted phosphoglycerate mutase; N-term missing; [G];
[PTHR48100:SF30]: PHOSPHOGLYCERATE MUTASE-LIKE PROTEIN 1;
[PTHR48100]: BROAD-SPECIFICITY PHOSPHATASE YOR283W-RELATED;
[PF00300]: Histidine phosphatase superfamily (branch 1)"
"Mp7g10730"	"MpH3.1c"	"Chromatin related protein"	"[MpH3.1c]: Chromatin related protein"	"[K11253]: H3; histone H3;
[KOG1745]: Histones H3 and H4; [B];
[PTHR11426]: HISTONE H3;
[PTHR11426:SF198];
[PF00125]: Core histone H2A/H2B/H3/H4"
"Mp7g10770"	""	""	""	"[K16052]: ynaI, mscMJ; MscS family membrane protein;
[KOG4629]: Predicted mechanosensitive ion channel; N-term missing; [M];
[PTHR30566]: YNAI-RELATED MECHANOSENSITIVE ION CHANNEL;
[PTHR30566:SF25]: LARGE-CONDUCTANCE MECHANOSENSITIVE CHANNEL MSCMJLR;
[PF00924]: Mechanosensitive ion channel"
"Mp7g10790"	""	""	""	"[K00029]: E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40];
[KOG1257]: NADP+-dependent malic enzyme; [C];
[PTHR23406:SF68]: MALIC ENZYME;
[PTHR23406]: MALIC ENZYME-RELATED;
[PF03949]: Malic enzyme, NAD binding domain;
[PF00390]: Malic enzyme, N-terminal domain"
"Mp7g10800"	""	""	""	"[PTHR31964:SF126]: ADENINE NUCLEOTIDE ALPHA HYDROLASES-LIKE SUPERFAMILY PROTEIN;
[PTHR31964]: ADENINE NUCLEOTIDE ALPHA HYDROLASES-LIKE SUPERFAMILY PROTEIN;
[PF00582]: Universal stress protein family"
"Mp7g10810"	""	""	""	"[KOG1337]: N-methyltransferase; N-term missing; C-term missing; [R];
[PTHR13271]: UNCHARACTERIZED PUTATIVE METHYLTRANSFERASE;
[PTHR13271:SF54]: PROTEIN PLASTID TRANSCRIPTIONALLY ACTIVE 14;
[PF09273]: Rubisco LSMT substrate-binding;
[PF00856]: SET domain"
"Mp7g10850"	""	""	""	"[K23568]: EMC7; ER membrane protein complex subunit 7;
[KOG3306]: Predicted membrane protein; [S];
[PTHR13605]: UNCHARACTERIZED;
[PTHR13605:SF4]: ER MEMBRANE PROTEIN COMPLEX SUBUNIT 7;
[PF09430]: Protein of unknown function (DUF2012)"
"Mp7g10860"	""	""	""	"[K22390]: ACP7; acid phosphatase type 7;
[KOG1378]: Purple acid phosphatase; [G];
[PTHR22953]: ACID PHOSPHATASE RELATED;
[PF14008]: Iron/zinc purple acid phosphatase-like protein C;
[PF16656]: Purple acid Phosphatase, N-terminal domain;
[PF00149]: Calcineurin-like phosphoesterase"
"Mp7g10870"	""	""	""	"[PF14216]: Domain of unknown function (DUF4326)"
"Mp7g10880"	""	""	""	"[K22390]: ACP7; acid phosphatase type 7;
[KOG1378]: Purple acid phosphatase; [G];
[PTHR22953]: ACID PHOSPHATASE RELATED;
[PF00149]: Calcineurin-like phosphoesterase;
[PF14008]: Iron/zinc purple acid phosphatase-like protein C;
[PF16656]: Purple acid Phosphatase, N-terminal domain"
"Mp7g10890"	""	""	""	"[PF14216]: Domain of unknown function (DUF4326)"
"Mp7g10930"	""	""	""	"[K13993]: HSP20; HSP20 family protein;
[KOG0710]: Molecular chaperone (small heat-shock protein Hsp26/Hsp42); N-term missing; [O];
[PTHR11527:SF305]: 17.6 KDA CLASS I HEAT SHOCK PROTEIN 1-RELATED;
[PTHR11527]: HEAT-SHOCK PROTEIN 20 FAMILY MEMBER;
[PF00011]: Hsp20/alpha crystallin family"
"Mp7g10940"	""	""	""	"[K13993]: HSP20; HSP20 family protein;
[KOG0710]: Molecular chaperone (small heat-shock protein Hsp26/Hsp42); N-term missing; [O];
[PTHR11527]: HEAT-SHOCK PROTEIN 20 FAMILY MEMBER;
[PTHR11527:SF305]: 17.6 KDA CLASS I HEAT SHOCK PROTEIN 1-RELATED;
[PF00011]: Hsp20/alpha crystallin family"
"Mp7g10970"	"MpIDA4"	"secretory peptide IDA4"	"[MpIDA4]: secretory peptide IDA4"	""
"Mp7g11000"	""	""	""	"[PTHR22849]: WDSAM1 PROTEIN;
[PF04564]: U-box domain"
"Mp7g11020"	""	""	""	"[PTHR22849]: WDSAM1 PROTEIN;
[PF04564]: U-box domain"
"Mp7g11030"	"MpIDA2"	"Putative membrane lipoprotein"	"[MpIDA2]: Putative membrane lipoprotein"	""
"Mp7g11040"	""	""	""	"[PTHR31389:SF4]: LD39211P;
[PTHR31389]: LD39211P"
"Mp7g11060"	""	""	""	"[K02325]: POLE2; DNA polymerase epsilon subunit 2 [EC:2.7.7.7];
[KOG3818]: DNA polymerase epsilon, subunit B; [L];
[PTHR12708]: DNA POLYMERASE EPSILON SUBUNIT B;
[PF12213]: DNA polymerases epsilon N terminal;
[PF04042]: DNA polymerase alpha/epsilon subunit B"
"Mp7g11070"	""	""	""	"[K23553]: PGAP3, PER1; post-GPI attachment to proteins factor 3;
[KOG2970]: Predicted membrane protein; [S];
[PTHR13148]: PER1-RELATED;
[PF04080]: Per1-like family"
"Mp7g11080"	""	""	""	"[PTHR37261]: 40S RIBOSOMAL PROTEIN S27;
[PF14958]: Domain of unknown function (DUF4506)"
"Mp7g11090"	"MpABCF3|MpABC78"	"ABC transporters"	"[MpABCF3|MpABC78]: ABC transporters"	"[KOG0927]: Predicted transporter (ABC superfamily); [R];
[PTHR19211]: ATP-BINDING TRANSPORT PROTEIN-RELATED;
[PTHR19211:SF95]: ABC TRANSPORTER F FAMILY MEMBER 2;
[PF12848]: ABC transporter;
[PF00005]: ABC transporter"
"Mp7g11100"	""	""	""	"[KOG1801]: tRNA-splicing endonuclease positive effector (SEN1); [A];
[PTHR10887]: DNA2/NAM7 HELICASE FAMILY;
[PTHR10887:SF482]: P-LOOP CONTAINING NUCLEOSIDE TRIPHOSPHATE HYDROLASES SUPERFAMILY PROTEIN-RELATED;
[PF13087]: AAA domain;
[PF13086]: AAA domain"
"Mp7g11110"	"MpCYP707D1"	"Cytochrome P450, Secondary metabolism enzyme"	"[MpCYP707D1]: Cytochrome P450, Secondary metabolism enzyme"	"[K09843]: CYP707A; (+)-abscisic acid 8'-hydroxylase [EC:1.14.14.137];
[KOG0157]: Cytochrome P450 CYP4/CYP19/CYP26 subfamilies; [QI];
[PTHR24286]: CYTOCHROME P450 26;
[PTHR24286:SF220]: ABSCISIC ACID 8'-HYDROXYLASE 2;
[PF00067]: Cytochrome P450"
"Mp7g11130"	""	""	""	"[K18195]: RGL4, rhiE; rhamnogalacturonan endolyase [EC:4.2.2.23];
[PTHR32018]: RHAMNOGALACTURONATE LYASE FAMILY PROTEIN;
[PTHR32018:SF1]: RHAMNOGALACTURONATE LYASE FAMILY PROTEIN;
[PF14686]: Polysaccharide lyase family 4, domain II;
[PF14683]: Polysaccharide lyase family 4, domain III;
[PF06045]: Rhamnogalacturonate lyase family"
"Mp7g11150"	""	""	""	"[K21398]: SLC11A2, DMT1, NRAMP2; natural resistance-associated macrophage protein 2;
[KOG1291]: Mn2+ and Fe2+ transporters of the NRAMP family; [P];
[PTHR11706]: SOLUTE CARRIER PROTEIN FAMILY 11 MEMBER;
[PTHR11706:SF54]: METAL TRANSPORTER NRAMP6;
[PF01566]: Natural resistance-associated macrophage protein"
"Mp7g11160"	""	""	""	"[KOG1838]: Alpha/beta hydrolase; [R];
[PTHR10794:SF82]: ALPHA/BETA-HYDROLASES SUPERFAMILY PROTEIN;
[PTHR10794]: ABHYDROLASE DOMAIN-CONTAINING PROTEIN;
[PF00561]: alpha/beta hydrolase fold"
"Mp7g11190"	""	""	""	"[K01738]: cysK; cysteine synthase [EC:2.5.1.47];
[KOG1481]: Cysteine synthase; [E];
[PTHR10314:SF211]: CYSTEINE SYNTHASE 1;
[PTHR10314]: CYSTATHIONINE BETA-SYNTHASE;
[PF00291]: Pyridoxal-phosphate dependent enzyme"
"Mp7g11200"	"MpGT37.16"	"Cell wall related protein"	"[MpGT37.16]: Cell wall related protein"	"[K13681]: FUT; xyloglucan fucosyltransferase [EC:2.4.1.-];
[PTHR31889:SF4]: OS02G0275200 PROTEIN;
[PTHR31889]: FUCOSYLTRANSFERASE 2-RELATED;
[PF03254]: Xyloglucan fucosyltransferase"
"Mp7g11210"	"MpABCF4|MpABC79"	"ABC transporters"	"[MpABCF4|MpABC79]: ABC transporters"	"[KOG0927]: Predicted transporter (ABC superfamily); [R];
[PTHR43858]: ENERGY-DEPENDENT TRANSLATIONAL THROTTLE PROTEIN ETTA;
[PF00005]: ABC transporter;
[PF12848]: ABC transporter"
"Mp7g11220"	""	""	""	"[KOG1454]: Predicted hydrolase/acyltransferase (alpha/beta hydrolase superfamily); [R];
[PTHR46438:SF7]: ALPHA/BETA-HYDROLASES SUPERFAMILY PROTEIN;
[PTHR46438]: ALPHA/BETA-HYDROLASES SUPERFAMILY PROTEIN;
[PF12697]: Alpha/beta hydrolase family"
"Mp7g11230"	""	""	""	"[K00784]: rnz; ribonuclease Z [EC:3.1.26.11];
[KOG2121]: Predicted metal-dependent hydrolase (beta-lactamase superfamily); [R];
[PTHR12553]: ZINC PHOSPHODIESTERASE ELAC PROTEIN 2;
[PTHR12553:SF65]: TRNASE Z TRZ4, MITOCHONDRIAL;
[PF13691]: tRNase Z endonuclease"
"Mp7g11240"	""	""	""	"[K16054]: DEP1; methylthioribulose 1-phosphate dehydratase / enolase-phosphatase E1 [EC:4.2.1.109 3.1.3.77];
[KOG2631]: Class II aldolase/adducin N-terminal domain protein; [G];
[KOG2630]: Enolase-phosphatase E-1; [E];
[PTHR10640]: METHYLTHIORIBULOSE-1-PHOSPHATE DEHYDRATASE;
[PTHR10640:SF8]: BIFUNCTIONAL METHYLTHIORIBULOSE-1-PHOSPHATE DEHYDRATASE/ENOLASE-PHOSPHATASE E1-RELATED;
[PF00596]: Class II Aldolase and Adducin N-terminal domain"
"Mp7g11260"	""	""	""	"[K10523]: SPOP; speckle-type POZ protein;
[KOG4441]: Proteins containing BTB/POZ and Kelch domains, involved in regulatory/signal transduction processes; C-term missing; [TR];
[PTHR47274]: BTB/POZ DOMAIN CONTAINING PROTEIN, EXPRESSED-RELATED;
[PF00651]: BTB/POZ domain"
"Mp7g11270"	""	""	""	"[PTHR11697]: GENERAL TRANSCRIPTION FACTOR 2-RELATED ZINC FINGER PROTEIN;
[PTHR11697:SF206]: GENERAL TRANSCRIPTION FACTOR 2-RELATED ZINC FINGER PROTEIN-RELATED;
[PF14291]: Domain of unknown function (DUF4371)"
"Mp7g11280"	""	""	""	"[PTHR30265]: RHO-INTERACTING TRANSCRIPTION TERMINATION FACTOR NUSG;
[PTHR30265:SF4]: TRANSCRIPTION ANTITERMINATION PROTEIN RFAH;
[PF02357]: Transcription termination factor nusG"
"Mp7g11290"	""	""	""	"[PTHR36810]: BNACNNG47150D PROTEIN;
[PF00168]: C2 domain"
"Mp7g11300"	""	""	""	"[K11644]: SIN3A; paired amphipathic helix protein Sin3a;
[KOG4204]: Histone deacetylase complex, SIN3 component; [B];
[PTHR12346]: SIN3B-RELATED;
[PF02671]: Paired amphipathic helix repeat;
[PF08295]: Sin3 family co-repressor"
"Mp7g11310"	""	""	""	"[K03501]: gidB, rsmG; 16S rRNA (guanine527-N7)-methyltransferase [EC:2.1.1.170];
[PTHR31760]: S-ADENOSYL-L-METHIONINE-DEPENDENT METHYLTRANSFERASES SUPERFAMILY PROTEIN;
[PF02527]: rRNA small subunit methyltransferase G"
"Mp7g11330"	"MpGARP5"	"transcription factor, GARP"	"[MpGARP5]: transcription factor, GARP"	"[PTHR31314:SF5]: MYB FAMILY TRANSCRIPTION FACTOR PHL7-LIKE;
[PTHR31314]: MYB FAMILY TRANSCRIPTION FACTOR PHL7-LIKE;
[PF00249]: Myb-like DNA-binding domain;
[PF14379]: MYB-CC type transfactor, LHEQLE motif"
"Mp7g11340"	""	""	""	"[PTHR34196]: OS02G0697700 PROTEIN;
[PTHR34196:SF2]: OS02G0697700 PROTEIN"
"Mp7g11370"	""	""	""	"[PTHR31818:SF1]: O-FUCOSYLTRANSFERASE 16;
[PTHR31818]: O-FUCOSYLTRANSFERASE 16;
[PF10250]: GDP-fucose protein O-fucosyltransferase"
"Mp7g11380"	"MpPPR_65"	"Pentatricopeptide repeat proteins"	"[MpPPR_65]: Pentatricopeptide repeat proteins"	"[KOG4422]: Uncharacterized conserved protein; N-term missing; C-term missing; [S];
[PTHR47937:SF1]: PLASTID TRANSCRIPTIONALLY ACTIVE CHROMOSOME 2-LIKE PROTEIN;
[PTHR47937]: PLASTID TRANSCRIPTIONALLY ACTIVE CHROMOSOME 2-LIKE PROTEIN;
[PF01535]: PPR repeat;
[PF13812]: Pentatricopeptide repeat domain;
[PF13041]: PPR repeat family"
"Mp7g11410"	""	""	""	"[KOG4441]: Proteins containing BTB/POZ and Kelch domains, involved in regulatory/signal transduction processes; N-term missing; [TR];
[PTHR46301]: F-BOX/KELCH-REPEAT PROTEIN;
[PTHR46301:SF31]: F-BOX DOMAIN, GALACTOSE OXIDASE/KELCH, BETA-PROPELLER, GALACTOSE OXIDASE, BETA-PROPELLER-RELATED;
[PF00646]: F-box domain"
"Mp7g11420"	""	""	""	"[PTHR45642:SF35]: GDSL ESTERASE/LIPASE APG;
[PTHR45642]: GDSL ESTERASE/LIPASE EXL3;
[PF00657]: GDSL-like Lipase/Acylhydrolase"
"Mp7g11430"	"MpPTOXb"	""	"[MpPTOXb]: "	"[K17893]: AOX1, AOX2; ubiquinol oxidase [EC:1.10.3.11];
[PTHR31803]: ALTERNATIVE OXIDASE;
[PTHR31803:SF19]: UBIQUINOL OXIDASE;
[PF01786]: Alternative oxidase"
"Mp7g11440"	""	""	""	"[KOG0149]: Predicted RNA-binding protein SEB4 (RRM superfamily); [R];
[KOG4177]: Ankyrin; N-term missing; C-term missing; [M];
[KOG1677]: CCCH-type Zn-finger protein; N-term missing; C-term missing; [R];
[PTHR24203:SF39]: SERINE/THREONINE-PROTEIN PHOSPHATASE 6 REGULATORY ANKYRIN REPEAT SUBUNIT;
[PTHR24203]: ANKYRIN REPEAT FAMILY PROTEIN;
[PF12796]: Ankyrin repeats (3 copies);
[PF00642]: Zinc finger C-x8-C-x5-C-x3-H type (and similar);
[PF13637]: Ankyrin repeats (many copies);
[PF00076]: RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"Mp7g11460"	""	""	""	"[PTHR13608]: UNCHARACTERIZED"
"Mp7g11470"	""	""	""	"[K02951]: RP-S12e, RPS12; small subunit ribosomal protein S12e;
[KOG3406]: 40S ribosomal protein S12; [J];
[PTHR11843]: 40S RIBOSOMAL PROTEIN S12;
[PTHR11843:SF20]: 40S RIBOSOMAL PROTEIN S12;
[PF01248]: Ribosomal protein L7Ae/L30e/S12e/Gadd45 family"
"Mp7g11500"	"MpTRIHELIX6"	"transcription factor, Trihelix"	"[MpTRIHELIX6]: transcription factor, Trihelix"	"[PTHR33492]: OSJNBA0043A12.37 PROTEIN-RELATED;
[PTHR33492:SF11]: OSJNBA0043A12.37 PROTEIN;
[PF13837]: Myb/SANT-like DNA-binding domain"
"Mp7g11520"	""	""	""	"[PTHR11413]: CYSTATIN FAMILY MEMBER;
[PTHR11413:SF103]: CYSTEINE PROTEINASE INHIBITOR 6;
[PF16845]: Aspartic acid proteinase inhibitor"
"Mp7g11540"	""	""	""	"[K00927]: PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3];
[KOG1367]: 3-phosphoglycerate kinase; [G];
[PTHR11406:SF23]: PHOSPHOGLYCERATE KINASE 1, CHLOROPLASTIC-RELATED;
[PTHR11406]: PHOSPHOGLYCERATE KINASE;
[PF00162]: Phosphoglycerate kinase"
"Mp7g11550"	"MpPOD150"	"Peroxidase"	"[MpPOD150]: Peroxidase"	"[K00430]: E1.11.1.7; peroxidase [EC:1.11.1.7];
[PTHR31235:SF156]: PEROXIDASE;
[PTHR31235]: PEROXIDASE 25-RELATED;
[PF00141]: Peroxidase"
"Mp7g11560"	"MpGST10"	"glutathione S-transferase"	"[MpGST10]: glutathione S-transferase"	"[K00799]: GST, gst; glutathione S-transferase [EC:2.5.1.18];
[KOG0867]: Glutathione S-transferase; [O];
[PTHR43900]: GLUTATHIONE S-TRANSFERASE RHO;
[PF00043]: Glutathione S-transferase, C-terminal domain;
[PF02798]: Glutathione S-transferase, N-terminal domain"
"Mp7g11570"	""	""	""	"[PTHR36076]: THIOREDOXIN SUPERFAMILY PROTEIN"
"Mp7g11590"	""	""	""	"[K13462]: MIN7; guanine nucleotide-exchange factor;
[KOG0929]: Guanine nucleotide exchange factor; [U];
[PTHR10663]: GUANYL-NUCLEOTIDE EXCHANGE FACTOR;
[PTHR10663:SF312]: BREFELDIN A-INHIBITED GUANINE NUCLEOTIDE-EXCHANGE PROTEIN 5;
[PF12783]: Guanine nucleotide exchange factor in Golgi transport N-terminal;
[PF16213]: Dimerisation and cyclophilin-binding domain of Mon2;
[PF01369]: Sec7 domain;
[PF09324]: Domain of unknown function (DUF1981)"
"Mp7g11620"	""	""	""	"[PTHR33779]: EXPRESSED PROTEIN"
"Mp7g11630"	""	""	""	"[K03145]: TFIIS; transcription elongation factor S-II;
[KOG1105]: Transcription elongation factor TFIIS/Cofactor of enhancer-binding protein Sp1; [K];
[PTHR11477]: TRANSCRIPTION FACTOR S-II ZINC FINGER DOMAIN-CONTAINING PROTEIN;
[PTHR11477:SF36]: TRANSCRIPTION ELONGATION FACTOR TFIIS;
[PF07500]: Transcription factor S-II (TFIIS), central domain;
[PF01096]: Transcription factor S-II (TFIIS);
[PF08711]: TFIIS helical bundle-like domain"
"Mp7g11670"	""	""	""	"[K10301]: FBXO21; F-box protein 21;
[PTHR31350:SF11]: F-BOX ONLY PROTEIN 21;
[PTHR31350]: SI:DKEY-261L7.2;
[PF08755]: Hemimethylated DNA-binding protein YccV like;
[PF12937]: F-box-like;
[PF13369]: Transglutaminase-like superfamily"
"Mp7g11680"	""	""	""	"[K06237]: COL4A; collagen type IV alpha;
[KOG3544]: Collagens (type IV and type XIII), and related proteins; N-term missing; [W]"
"Mp7g11690"	""	""	""	"[PTHR31549]: PROTEIN, PUTATIVE (DUF247)-RELATED-RELATED;
[PTHR31549:SF157]: OS09G0300150 PROTEIN;
[PF03140]: Plant protein of unknown function"
"Mp7g11710"	"MpGID1L2"	"putative class I carboxyesterase"	"[MpGID1L2]: putative class I carboxyesterase"	"[KOG1515]: Arylacetamide deacetylase; [V];
[PTHR23024]: ARYLACETAMIDE DEACETYLASE;
[PTHR23024:SF434]: ACETYL ESTERASE;
[PF07859]: alpha/beta hydrolase fold"
"Mp7g11720"	"MpDCL4"	"miRNA biogenesis protein"	"[MpDCL4]: miRNA biogenesis protein"	"[K11592]: DICER1, DCR1; endoribonuclease Dicer [EC:3.1.26.-];
[KOG0701]: dsRNA-specific nuclease Dicer and related ribonucleases; [A];
[PTHR14950]: DICER-RELATED;
[PTHR14950:SF15]: DICER-LIKE PROTEIN 4;
[PF00271]: Helicase conserved C-terminal domain;
[PF00636]: Ribonuclease III domain;
[PF04851]: Type III restriction enzyme, res subunit;
[PF03368]: Dicer dimerisation domain;
[PF02170]: PAZ domain;
[PF14709]: double strand RNA binding domain from DEAD END PROTEIN 1"
"Mp7g11730"	"MpVPS34"	"Autophagy protein"	"[MpVPS34]: Autophagy protein"	"[K00914]: PIK3C3, VPS34; phosphatidylinositol 3-kinase [EC:2.7.1.137];
[KOG0906]: Phosphatidylinositol 3-kinase VPS34, involved in signal transduction; [TU];
[PTHR10048:SF7]: PHOSPHATIDYLINOSITOL 3-KINASE CATALYTIC SUBUNIT TYPE 3;
[PTHR10048]: PHOSPHATIDYLINOSITOL KINASE;
[PF00613]: Phosphoinositide 3-kinase family, accessory domain (PIK domain);
[PF00454]: Phosphatidylinositol 3- and 4-kinase;
[PF00792]: Phosphoinositide 3-kinase C2"
"Mp7g11740"	"MpARFB2"	"SAR/ARF GTPase"	"[MpARFB2]: SAR/ARF GTPase"	"[K07937]: ARF1_2; ADP-ribosylation factor 1/2;
[KOG0070]: GTP-binding ADP-ribosylation factor Arf1; [U];
[PTHR11711]: ADP RIBOSYLATION FACTOR-RELATED;
[PTHR11711:SF344]: ARF6/ARFB-FAMILY SMALL GTPASE;
[PF00025]: ADP-ribosylation factor family"
"Mp7g11760"	""	""	""	"[K18195]: RGL4, rhiE; rhamnogalacturonan endolyase [EC:4.2.2.23];
[PTHR32018]: RHAMNOGALACTURONATE LYASE FAMILY PROTEIN;
[PF06045]: Rhamnogalacturonate lyase family;
[PF14686]: Polysaccharide lyase family 4, domain II;
[PF14683]: Polysaccharide lyase family 4, domain III"
"Mp7g11800"	"MpPEX3"	"PEX3, Membrane protein import?"	"[MpPEX3]: PEX3, Membrane protein import?"	"[K13336]: PEX3; peroxin-3;
[KOG4444]: Peroxisomal assembly protein PEX3; [MU];
[PTHR28080]: PEROXISOMAL BIOGENESIS FACTOR 3;
[PF04882]: Peroxin-3"
"Mp7g11810"	"MpCYP51"	"Cytochrome P450, Secondary metabolism enzyme"	"[MpCYP51]: Cytochrome P450, Secondary metabolism enzyme"	"[K05917]: CYP51; sterol 14alpha-demethylase [EC:1.14.14.154 1.14.15.36];
[KOG0684]: Cytochrome P450; [Q];
[PTHR24286:SF251]: STEROL 14-DEMETHYLASE;
[PTHR24286]: CYTOCHROME P450 26;
[PF00067]: Cytochrome P450"
"Mp7g11820"	"MpGT8.11"	"Cell wall related protein"	"[MpGT8.11]: Cell wall related protein"	"[PTHR11183:SF3]: GLYCOSYL TRANSFERASE FAMILY PROTEIN (AFU_ORTHOLOGUE AFUA_8G01730);
[PTHR11183]: GLYCOGENIN SUBFAMILY MEMBER;
[PF01501]: Glycosyl transferase family 8"
"Mp7g11830"	""	""	""	"[K12778]: HORMAD, HOP1; meiosis-specific protein;
[KOG4652]: HORMA domain; C-term missing; [B];
[PTHR12411]: CYSTEINE PROTEASE FAMILY C1-RELATED;
[PTHR12411:SF699]: MEIOSIS-SPECIFIC PROTEIN ASY1;
[PF02301]: HORMA domain"
"Mp7g11840"	"MpPLD2"	"lipid turnover protein"	"[MpPLD2]: lipid turnover protein"	"[K01115]: PLD1_2; phospholipase D1/2 [EC:3.1.4.4];
[KOG1329]: Phospholipase D1; N-term missing; [I];
[PTHR18896:SF138]: PHOSPHOLIPASE D;
[PTHR18896]: PHOSPHOLIPASE D;
[PF12357]: Phospholipase D C terminal"
"Mp7g11850"	""	""	""	"[K10644]: CHFR; E3 ubiquitin-protein ligase CHFR [EC:2.3.2.27];
[KOG0317]: Predicted E3 ubiquitin ligase, integral peroxisomal membrane protein; N-term missing; [O];
[PTHR16079]: UBIQUITIN LIGASE PROTEIN CHFR;
[PF17979]: Cysteine rich domain with multizinc binding regions;
[PF00097]: Zinc finger, C3HC4 type (RING finger);
[PF00498]: FHA domain;
[PF10283]: PBZ domain"
"Mp7g11870"	""	""	""	"[K13065]: E2.3.1.133, HCT; shikimate O-hydroxycinnamoyltransferase [EC:2.3.1.133];
[PTHR31642]: TRICHOTHECENE 3-O-ACETYLTRANSFERASE;
[PTHR31642:SF11]: SHIKIMATE O-HYDROXYCINNAMOYLTRANSFERASE;
[PF02458]: Transferase family"
"Mp7g11880"	""	""	""	"[KOG4723]: Uncharacterized conserved protein; [S];
[PTHR16184]: ELONGATOR COMPLEX PROTEIN 6;
[PF09807]: Elongation complex protein 6"
"Mp7g11890"	""	""	""	"[PTHR36727]: NAD(P)H-QUINONE OXIDOREDUCTASE SUBUNIT L, CHLOROPLASTIC;
[PF10716]: NADH dehydrogenase transmembrane subunit"
"Mp7g11900"	"Mpsnf1.20"	"Chromatin related protein"	"[Mpsnf1.20]: Chromatin related protein"	"[K15083]: RAD16; DNA repair protein RAD16;
[KOG1002]: Nucleotide excision repair protein RAD16; [L];
[PTHR45626]: TRANSCRIPTION TERMINATION FACTOR 2-RELATED;
[PTHR45626:SF33];
[PF00271]: Helicase conserved C-terminal domain;
[PF00176]: SNF2 family N-terminal domain;
[PF00097]: Zinc finger, C3HC4 type (RING finger)"
"Mp7g11920"	""	""	""	"[PTHR34116:SF2]: PLASMINOGEN ACTIVATOR INHIBITOR;
[PTHR34116]: PLASMINOGEN ACTIVATOR INHIBITOR"
"Mp7g11930"	""	""	""	"[K12823]: DDX5, DBP2; ATP-dependent RNA helicase DDX5/DBP2 [EC:3.6.4.13];
[KOG0327]: Translation initiation factor 4F, helicase subunit (eIF-4A) and related helicases; [J];
[PTHR47958]: ATP-DEPENDENT RNA HELICASE DBP3;
[PTHR47958:SF91]: ATP-DEPENDENT RNA HELICASE DBP2-LIKE;
[PF00271]: Helicase conserved C-terminal domain;
[PF00270]: DEAD/DEAH box helicase"
"Mp7g11940"	"MpSUVR2"	"Chromatin related protein"	"[MpSUVR2]: Chromatin related protein"	"[KOG1082]: Histone H3 (Lys9) methyltransferase SUV39H1/Clr4, required for transcriptional silencing; [BK];
[PTHR47325]: HISTONE-LYSINE N-METHYLTRANSFERASE SUVR5;
[PF18868]: Zinc finger C2H2-type, 3 repeats;
[PF05033]: Pre-SET motif;
[PF00856]: SET domain"
"Mp7g11950"	"MpATG3"	"Autophagy protein"	"[MpATG3]: Autophagy protein"	"[K08343]: ATG3; ubiquitin-like-conjugating enzyme ATG3;
[KOG2981]: Protein involved in autophagocytosis during starvation; [R];
[PTHR12866:SF2]: UBIQUITIN-LIKE-CONJUGATING ENZYME ATG3;
[PTHR12866]: UBIQUITIN-LIKE-CONJUGATING ENZYME ATG3;
[PF03987]: Autophagocytosis associated protein, active-site domain"
"Mp7g11980"	"MpIAMT1"	"Auxin related protein, Hormone related protein"	"[MpIAMT1]: Auxin related protein, Hormone related protein"	"[K18848]: IAMT1; indole-3-acetate O-methyltransferase [EC:2.1.1.278];
[PTHR31009:SF42]: INDOLE-3-ACETATE O-METHYLTRANSFERASE 1;
[PTHR31009]: S-ADENOSYL-L-METHIONINE:CARBOXYL METHYLTRANSFERASE FAMILY PROTEIN;
[PF03492]: SAM dependent carboxyl methyltransferase"
